Customer_Id,Max of transaction_date,Count of transaction_date,Sum of profit,R,F,M,rfm_group,rfm_score,value
117,43094,10,"$6,917 ",10,10,10,"10,10,10",5.0,Very High
322,43098,12,"$10,342 ",10,10,10,"10,10,10",5.0,Very High
725,43096,11,"$7,322 ",10,10,10,"10,10,10",5.0,Very High
729,43098,10,"$10,498 ",10,10,10,"10,10,10",5.0,Very High
1084,43095,10,"$6,523 ",10,10,10,"10,10,10",5.0,Very High
1140,43093,13,"$8,533 ",10,10,10,"10,10,10",5.0,Very High
1329,43095,10,"$6,969 ",10,10,10,"10,10,10",5.0,Very High
1331,43094,10,"$6,252 ",10,10,10,"10,10,10",5.0,Very High
1438,43093,11,"$6,560 ",10,10,10,"10,10,10",5.0,Very High
1506,43099,10,"$6,435 ",10,10,10,"10,10,10",5.0,Very High
1530,43098,10,"$7,391 ",10,10,10,"10,10,10",5.0,Very High
1991,43098,10,"$8,256 ",10,10,10,"10,10,10",5.0,Very High
2060,43094,11,"$5,875 ",10,10,10,"10,10,10",5.0,Very High
2165,43099,10,"$6,053 ",10,10,10,"10,10,10",5.0,Very High
2379,43096,11,"$8,253 ",10,10,10,"10,10,10",5.0,Very High
2464,43097,13,"$7,817 ",10,10,10,"10,10,10",5.0,Very High
2523,43093,10,"$5,877 ",10,10,10,"10,10,10",5.0,Very High
2548,43096,12,"$5,982 ",10,10,10,"10,10,10",5.0,Very High
2659,43099,12,"$8,144 ",10,10,10,"10,10,10",5.0,Very High
3048,43095,13,"$8,380 ",10,10,10,"10,10,10",5.0,Very High
3420,43094,11,"$6,808 ",10,10,10,"10,10,10",5.0,Very High
3433,43099,10,"$5,926 ",10,10,10,"10,10,10",5.0,Very High
25,43094,12,"$5,334 ",10,10,9,"10,10,9",4.8,Very High
235,43097,11,"$4,686 ",10,10,9,"10,10,9",4.8,Very High
739,43098,10,"$4,842 ",10,10,9,"10,10,9",4.8,Very High
793,43098,10,"$4,778 ",10,10,9,"10,10,9",4.8,Very High
1068,43095,14,"$4,842 ",10,10,9,"10,10,9",4.8,Very High
1748,43097,10,"$4,974 ",10,10,9,"10,10,9",4.8,Very High
2606,43094,10,"$4,718 ",10,10,9,"10,10,9",4.8,Very High
142,43095,11,"$3,917 ",10,10,8,"10,10,8",4.7,Very High
377,43093,13,"$4,277 ",10,10,8,"10,10,8",4.7,Very High
577,43097,11,"$4,242 ",10,10,8,"10,10,8",4.7,Very High
820,43096,10,"$4,534 ",10,10,8,"10,10,8",4.7,Very High
1091,43095,11,"$4,184 ",10,10,8,"10,10,8",4.7,Very High
3262,43098,10,"$4,291 ",10,10,8,"10,10,8",4.7,Very High
2358,43096,11,"$3,683 ",10,10,7,"10,10,7",4.5,High
1745,43094,12,"$3,164 ",10,10,6,"10,10,6",4.3,High
89,43095,9,"$5,780 ",10,9,10,"10,9,10",4.8,Very High
239,43098,9,"$5,928 ",10,9,10,"10,9,10",4.8,Very High
621,43097,9,"$6,127 ",10,9,10,"10,9,10",4.8,Very High
768,43094,9,"$5,581 ",10,9,10,"10,9,10",4.8,Very High
1722,43095,9,"$8,087 ",10,9,10,"10,9,10",4.8,Very High
1885,43095,9,"$6,979 ",10,9,10,"10,9,10",4.8,Very High
2055,43099,9,"$5,564 ",10,9,10,"10,9,10",4.8,Very High
2070,43095,9,"$6,434 ",10,9,10,"10,9,10",4.8,Very High
2434,43099,9,"$6,875 ",10,9,10,"10,9,10",4.8,Very High
2653,43096,9,"$7,365 ",10,9,10,"10,9,10",4.8,Very High
2695,43095,9,"$8,244 ",10,9,10,"10,9,10",4.8,Very High
2705,43097,9,"$6,880 ",10,9,10,"10,9,10",4.8,Very High
